"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"204","S01006709",12,8,18,17,23,19,10,12,13,14,6,11,8,7,16,5,12,14,8,10,6,20,23,19,17,8,7,21,10,15,7,19,6,23,13,4,12,19,9,11,12,9,16,12,3,10,8,15,14,15,21,8,12,15,14,8,12,17,15,8,10,9,7,12,10,12,10,2,5,13,6,6,5,8,4,3,3,7,5,2,5,6,5,5,8,3,1,3,3,0,2
"205","S01006710",4,9,7,8,9,3,8,5,7,7,6,7,5,5,3,8,3,5,7,2,5,11,11,9,6,6,9,16,10,10,6,16,5,11,4,4,14,5,5,6,6,16,12,9,8,7,12,9,9,10,13,22,13,14,19,10,16,22,14,12,14,12,15,12,8,8,21,17,8,9,19,10,21,9,6,9,13,10,9,10,12,16,9,6,5,4,2,0,2,3,6
"206","S01006711",15,8,5,9,3,4,7,4,7,5,10,6,7,1,10,5,15,3,5,6,5,13,9,7,10,17,16,19,11,12,17,15,9,11,10,9,6,14,6,3,6,17,14,4,10,12,6,9,13,19,9,20,16,16,18,24,27,14,16,19,12,18,23,19,22,9,14,12,11,6,7,10,8,7,12,6,3,15,4,8,7,3,9,8,1,5,6,4,9,2,10
"207","S01006712",3,9,8,8,6,5,3,3,3,2,6,3,4,2,8,5,3,5,4,6,2,11,9,2,2,10,5,8,9,5,12,3,5,5,9,0,6,5,5,5,4,4,5,6,6,9,10,6,5,5,10,13,5,7,6,8,12,7,7,10,7,6,12,7,8,8,7,5,4,5,3,9,5,5,7,4,7,5,5,9,5,13,3,5,1,2,1,3,3,2,2
"208","S01006713",12,14,13,6,10,9,5,10,12,12,14,2,9,11,9,7,17,8,10,8,11,10,16,12,14,11,22,11,18,9,12,13,12,15,7,5,12,10,9,9,11,13,20,13,13,12,12,15,19,16,10,21,12,19,16,16,15,12,17,12,13,12,12,8,9,13,19,8,8,7,0,5,6,5,4,9,5,5,14,5,6,8,14,4,4,7,2,5,7,1,1
"209","S01006714",6,5,4,6,2,11,7,5,7,10,5,7,7,16,5,7,5,10,3,3,7,13,11,12,14,10,14,9,5,9,6,9,7,2,15,7,5,5,9,3,12,10,16,11,17,6,6,10,10,10,8,10,15,12,8,9,10,8,11,11,12,5,8,13,12,13,23,10,9,9,8,4,5,5,3,9,7,6,4,4,3,8,4,8,6,1,4,5,3,2,13
"210","S01006715",5,6,6,11,6,7,9,19,10,12,12,6,12,18,13,20,4,16,8,9,11,9,5,5,2,13,8,12,6,7,8,7,9,5,2,5,13,9,13,4,14,10,16,13,11,10,11,6,10,7,11,6,3,1,9,9,8,4,7,5,4,5,4,7,8,6,3,6,2,1,0,6,3,5,3,0,0,2,1,2,2,1,1,1,1,1,1,0,2,0,1
"211","S01006716",8,9,9,4,7,6,7,9,6,2,6,11,10,6,8,13,8,11,6,4,10,13,16,9,14,4,7,12,5,3,7,4,11,5,7,7,9,16,5,4,6,8,10,7,9,2,8,6,13,10,9,12,9,4,9,15,13,10,5,12,7,5,0,12,3,7,12,1,9,2,4,9,6,6,4,6,2,3,5,1,2,2,2,1,1,0,0,0,0,0,1
"212","S01006717",11,13,8,13,13,13,15,4,7,9,7,12,4,8,7,10,11,8,5,12,7,11,11,10,12,8,14,9,15,14,14,13,13,16,19,15,7,12,10,7,9,4,9,10,14,16,15,8,12,13,10,17,16,9,20,12,18,12,18,16,10,16,11,16,18,15,10,4,9,5,11,9,7,12,15,8,6,7,10,12,9,8,10,6,6,3,6,4,7,1,11
"213","S01006718",6,8,7,5,4,10,4,11,8,7,7,8,9,10,6,9,14,11,13,5,9,12,6,6,5,8,10,2,12,9,10,4,7,6,6,5,4,9,6,11,8,5,9,9,17,10,7,12,8,9,12,8,12,4,11,8,9,8,16,8,6,6,10,8,12,3,10,3,3,7,5,4,5,3,5,6,3,4,7,3,3,4,1,2,5,4,1,3,1,1,3
"214","S01006719",18,14,12,13,6,15,21,14,10,10,8,11,16,7,9,7,8,15,17,8,10,15,17,9,7,16,8,8,12,14,9,15,7,11,19,10,12,21,19,9,12,7,16,20,12,9,21,19,11,8,15,11,7,12,9,6,15,12,14,10,10,13,11,10,6,10,17,8,11,6,6,6,5,5,5,4,6,5,3,5,1,3,0,0,1,1,1,2,1,1,3
"215","S01006720",4,15,10,7,9,7,6,3,10,6,4,7,5,6,3,9,8,5,14,7,4,6,4,4,3,2,3,12,9,8,9,2,8,10,10,7,8,10,4,11,5,7,13,7,7,8,8,15,16,4,8,9,9,3,8,10,15,11,8,8,17,10,7,5,7,10,9,8,4,4,1,2,3,8,2,4,6,3,6,3,0,2,1,3,1,1,0,1,2,0,2
"216","S01006721",13,11,18,19,12,15,18,9,13,11,14,14,16,13,14,11,6,13,15,17,12,10,13,9,11,10,19,16,14,10,22,10,13,10,13,14,9,18,11,9,6,8,20,17,12,14,12,12,22,16,13,12,15,17,12,20,17,13,13,6,12,16,9,15,16,12,7,8,5,12,7,7,4,8,3,9,8,8,6,5,2,4,0,1,3,2,1,1,1,0,6
"217","S01006722",6,11,8,10,10,10,7,4,4,8,12,10,18,12,2,9,9,14,8,11,13,8,5,15,7,8,12,12,13,6,9,18,11,18,10,7,6,10,8,6,7,11,4,16,14,3,10,9,16,6,11,8,8,18,15,3,10,14,7,7,10,10,13,12,7,8,10,5,7,12,8,10,4,5,4,7,2,2,4,1,3,5,1,3,0,1,0,0,0,2,3
"218","S01006723",5,11,4,3,11,9,10,7,1,8,4,2,6,4,6,12,11,6,7,4,10,7,12,4,6,5,5,7,11,7,12,7,3,8,12,7,4,7,8,6,10,10,6,6,14,10,12,6,6,18,6,11,6,10,7,12,6,13,10,14,16,8,13,13,12,15,5,7,6,2,5,4,10,6,0,5,3,6,2,3,3,1,3,4,2,2,0,1,2,3,2
"219","S01006724",25,21,21,20,18,14,18,16,19,22,15,21,18,15,21,17,22,27,20,18,14,30,18,19,14,10,3,9,11,19,20,7,16,9,9,15,16,14,20,23,21,10,14,15,17,13,12,16,7,21,13,9,11,13,15,7,8,10,10,6,7,5,3,3,6,9,6,4,5,3,3,2,0,2,2,1,4,1,2,1,1,1,1,1,0,2,0,0,0,0,0
"220","S01006725",8,13,13,11,9,1,3,9,10,4,11,5,2,10,12,10,7,8,9,1,6,11,12,8,16,15,6,2,8,6,5,11,8,7,5,7,6,7,7,9,10,10,11,12,11,4,7,8,9,4,9,8,11,5,17,10,14,9,14,16,8,13,3,8,9,7,9,2,4,5,2,6,1,1,5,3,4,5,1,5,4,2,1,4,2,2,1,2,0,3,3
"221","S01006726",25,30,23,23,22,23,12,29,26,20,22,16,25,34,20,18,19,32,14,19,19,34,27,27,23,20,19,11,21,22,39,20,17,22,23,14,23,18,13,28,20,26,32,20,17,22,25,22,21,17,18,17,17,18,16,18,7,13,10,11,11,1,7,6,10,7,8,4,4,8,2,4,4,6,1,0,3,2,1,1,0,1,1,0,0,0,1,0,1,0,0
"222","S01006727",17,12,10,18,16,21,10,18,17,15,11,16,10,11,16,11,17,13,16,13,16,17,13,19,10,14,11,19,3,9,20,20,18,20,17,11,16,11,22,13,16,17,8,14,11,14,18,17,13,12,16,11,11,12,13,16,9,6,10,6,9,15,10,10,10,14,8,5,6,5,6,6,4,10,2,3,2,3,6,6,5,5,8,4,3,3,2,4,1,3,22
"223","S01006728",7,11,7,19,14,7,14,12,12,7,15,3,6,8,8,5,10,11,11,10,5,6,11,10,11,11,10,18,13,7,14,14,13,9,12,13,8,11,8,8,6,2,14,15,11,9,13,10,16,12,7,5,16,15,7,16,7,12,3,7,9,7,4,7,12,7,9,4,6,9,5,3,6,6,3,4,7,4,1,8,5,2,3,3,3,4,3,0,0,0,0
"224","S01006729",12,14,8,16,17,14,16,13,12,10,9,12,5,14,16,10,17,11,19,7,10,21,17,17,10,10,14,15,8,10,12,10,5,14,4,5,10,15,10,15,5,10,18,19,9,12,8,18,8,10,16,13,17,6,6,7,4,11,10,11,10,7,6,12,14,10,6,7,2,5,3,7,6,4,5,6,6,3,3,4,1,5,5,4,4,2,1,1,0,1,2
"225","S01006730",10,12,9,10,13,17,6,14,8,3,8,11,12,13,11,10,5,14,9,9,8,11,7,9,8,3,15,17,10,1,12,13,17,15,13,4,8,10,8,9,18,8,12,2,16,13,10,16,16,14,17,18,9,18,14,7,14,15,8,11,2,10,11,8,6,11,10,8,11,5,4,5,7,5,5,4,2,5,3,2,3,4,2,1,1,0,5,1,0,0,2
"226","S01006731",4,7,6,3,4,5,4,3,6,6,4,7,6,5,5,6,10,11,4,7,6,10,10,17,4,5,8,12,5,7,8,6,15,5,4,8,6,3,10,9,4,6,9,4,10,5,5,10,10,10,12,10,6,9,13,5,10,14,3,7,7,11,12,8,14,9,16,12,10,6,5,7,4,6,4,1,1,1,4,0,2,0,2,0,0,0,1,0,2,0,0
"227","S01006732",11,12,18,11,15,17,10,17,14,22,12,15,15,13,10,8,8,14,8,15,27,29,36,24,17,22,10,13,11,9,12,9,10,9,13,17,26,17,14,21,21,14,13,9,11,18,15,20,23,16,21,14,20,18,12,19,12,8,15,14,10,12,15,6,13,7,15,9,6,10,15,8,5,8,5,5,8,6,5,4,4,8,3,0,3,2,1,3,3,4,13
"228","S01006733",13,10,18,10,27,15,18,17,21,13,21,13,11,19,14,21,20,20,7,7,4,8,9,6,7,4,4,4,5,8,9,6,13,12,16,25,19,23,24,19,18,25,20,13,24,12,36,23,27,19,16,16,20,16,8,9,11,15,5,8,5,9,10,2,7,6,10,3,2,4,1,1,4,8,4,3,1,2,3,4,1,1,0,0,1,0,1,0,0,0,1
"229","S01006734",13,14,24,14,17,13,19,21,7,15,12,12,9,14,16,8,10,9,8,2,10,7,4,9,9,4,9,10,9,11,16,6,18,19,24,18,16,7,33,17,13,16,25,18,23,11,18,15,17,16,17,17,12,17,15,19,15,10,11,3,5,5,6,4,6,9,11,10,7,4,5,6,4,9,2,4,6,6,10,4,1,5,4,4,4,4,5,1,4,4,12
"230","S01006735",4,4,4,9,10,5,8,6,10,5,8,1,6,7,7,11,10,11,8,4,4,5,9,0,5,3,7,7,4,2,3,6,3,7,7,1,9,5,6,8,6,3,5,13,8,10,5,8,6,9,4,13,9,9,11,7,12,9,11,14,10,10,9,8,10,7,11,7,3,5,7,9,4,7,6,10,7,4,8,9,4,4,8,8,4,1,3,2,1,0,6
"231","S01006736",23,27,31,32,25,24,31,28,14,24,18,11,14,16,9,12,8,11,3,5,6,11,5,12,12,9,8,7,17,15,16,15,17,31,33,30,30,35,26,25,32,24,33,21,22,22,24,11,12,14,13,15,17,12,19,16,10,13,8,5,12,7,3,6,4,3,10,3,2,4,4,2,0,2,2,1,1,0,1,0,1,0,0,1,0,0,0,1,0,3,1
"232","S01006737",10,10,6,9,8,16,6,11,9,12,10,13,8,10,8,10,9,5,10,4,4,8,6,11,10,7,3,4,13,3,6,17,15,12,17,13,4,10,8,7,6,18,9,14,13,16,15,11,17,21,13,15,8,12,12,10,22,5,12,7,5,7,6,8,14,8,13,8,5,5,2,6,4,7,7,7,8,7,4,8,4,2,4,3,2,1,0,2,3,0,1
"233","S01006738",18,14,11,14,6,13,8,6,6,5,6,4,1,7,8,4,6,5,2,5,11,10,13,13,19,16,22,27,21,38,23,27,34,16,15,14,10,13,13,18,11,12,17,14,12,20,13,16,15,9,8,14,17,16,13,10,13,12,7,8,6,11,5,7,7,13,7,4,4,2,4,8,1,3,5,3,1,5,2,1,4,4,1,1,2,0,2,0,0,1,1
"234","S01006739",17,7,7,9,7,10,8,6,1,1,5,7,3,2,6,3,3,5,2,3,2,13,8,23,16,23,9,17,30,21,25,16,24,23,16,15,12,13,11,13,13,6,10,12,14,9,15,9,15,6,9,6,7,6,7,9,9,6,7,14,4,6,11,4,3,10,4,3,5,0,11,7,4,4,3,7,4,3,1,2,2,3,0,0,3,1,1,0,0,0,1
"235","S01006740",6,7,7,8,7,8,5,6,8,5,2,6,4,5,4,5,4,8,6,8,14,17,12,5,7,15,14,9,12,10,12,15,7,12,7,9,10,3,9,12,10,3,17,8,7,8,5,5,9,9,14,21,9,13,7,14,13,16,13,12,12,9,13,17,9,14,7,6,3,9,4,3,4,3,8,8,7,7,8,4,7,8,5,4,5,2,6,0,2,2,1
"236","S01006741",6,7,7,4,5,3,3,4,3,4,0,4,1,6,5,5,3,3,3,4,4,3,5,3,6,3,7,10,11,7,10,8,9,6,7,5,14,5,7,6,10,6,6,5,7,5,10,6,5,6,15,4,3,10,8,9,13,10,2,13,8,11,12,11,14,11,15,14,10,12,10,14,5,15,14,7,14,16,15,9,5,11,5,3,2,4,5,1,4,1,4
"237","S01006742",4,3,6,4,7,4,0,6,1,5,2,1,3,6,4,6,6,6,3,3,4,2,5,3,4,1,8,3,8,8,5,6,3,6,8,4,4,1,4,2,8,5,7,5,6,12,6,7,10,5,5,4,4,4,4,5,6,0,8,6,3,3,3,6,7,7,7,6,3,11,10,11,15,4,7,5,4,5,9,6,6,5,1,6,1,1,0,3,1,0,7
"238","S01006743",5,5,3,1,2,6,5,3,3,3,2,2,4,5,1,4,4,2,8,4,11,4,8,9,8,13,7,10,8,10,10,7,12,7,8,6,12,8,4,4,4,10,7,6,8,6,14,7,10,10,6,11,12,11,3,4,6,2,4,11,10,10,0,4,13,6,13,7,11,1,2,8,5,4,2,7,4,6,6,5,3,9,4,5,3,2,5,1,0,1,6
"239","S01006744",3,2,9,2,4,8,7,4,5,4,3,2,5,5,6,5,4,5,2,4,2,6,8,11,8,20,12,8,8,6,11,17,6,8,8,12,11,10,7,8,13,8,16,14,8,13,2,9,14,10,8,8,15,7,9,8,13,7,12,10,13,11,5,9,10,9,10,11,2,5,7,4,4,6,1,4,5,3,3,2,0,1,1,0,5,0,2,0,1,0,4
"240","S01006745",8,6,18,4,7,16,5,9,6,6,9,7,5,6,5,9,8,13,12,6,6,7,9,10,10,9,26,13,12,10,11,10,9,15,10,14,6,9,16,7,8,16,12,17,8,9,16,9,6,15,14,15,13,12,15,9,7,11,14,17,7,9,11,15,10,10,7,7,4,4,11,12,5,5,4,9,8,7,9,7,9,6,2,6,2,6,7,7,2,4,11
"241","S01006746",17,9,13,12,8,10,8,7,4,6,11,17,7,7,9,4,3,2,11,6,9,13,17,15,9,10,2,12,8,14,8,19,12,11,12,9,7,7,10,9,6,9,12,17,10,16,13,16,15,11,15,12,4,8,6,8,9,14,8,12,6,8,8,18,14,6,11,6,4,5,10,4,13,10,5,8,5,9,7,11,10,4,6,4,7,6,4,7,6,1,19
"242","S01006747",7,3,4,5,6,10,4,8,5,2,5,4,1,7,3,9,10,10,5,3,6,6,10,6,5,10,8,7,15,6,4,11,9,9,6,8,4,6,16,4,10,5,10,18,15,12,16,18,10,9,7,12,14,10,15,14,11,7,11,8,9,7,10,15,11,13,18,11,16,14,22,21,12,13,17,9,14,20,11,9,8,14,6,2,4,1,2,1,4,3,6
"243","S01006748",10,6,3,11,13,8,7,10,11,11,15,7,12,9,13,4,11,4,3,5,9,16,11,14,5,15,4,13,11,16,8,7,14,9,12,16,11,7,11,14,21,15,17,13,13,17,13,20,17,19,10,11,15,15,14,19,10,11,9,13,14,12,18,14,18,24,22,13,20,21,9,13,12,12,9,7,7,11,5,2,2,11,2,8,6,3,4,0,5,2,4
"244","S01006749",9,9,10,7,9,7,8,8,8,6,8,7,3,8,11,14,7,12,8,8,9,12,4,6,6,8,6,20,9,14,22,10,20,16,18,7,8,1,10,12,11,12,8,13,9,21,11,16,9,17,18,12,16,12,12,8,12,14,11,11,12,16,18,12,18,16,21,15,8,14,17,8,11,4,6,9,5,5,4,6,4,6,5,2,6,1,5,1,3,2,2
"245","S01006750",5,5,10,3,6,5,6,2,3,2,4,3,2,3,6,9,7,11,11,11,11,5,3,7,10,8,8,7,11,5,9,3,4,8,4,5,6,7,6,13,11,5,11,8,3,9,14,10,4,8,4,9,6,8,7,4,9,8,13,9,7,10,14,12,19,15,19,18,8,16,13,8,11,6,7,6,3,5,5,1,5,4,1,7,11,6,3,2,3,3,21
"246","S01006751",6,5,5,6,8,4,6,3,6,3,4,4,4,4,3,8,10,2,4,5,4,8,5,6,4,11,6,3,7,6,3,10,5,4,6,8,3,9,8,5,7,1,3,7,6,8,7,12,8,7,11,7,8,5,12,8,7,7,4,6,10,10,7,13,6,10,5,4,2,5,7,4,4,4,4,8,1,6,1,6,5,0,4,10,4,1,3,6,5,1,11
"247","S01006752",7,8,10,10,10,8,9,7,6,6,5,9,8,6,9,6,11,7,7,6,7,6,3,5,11,12,9,9,15,7,13,9,10,10,8,6,8,7,4,6,5,5,6,4,8,11,11,14,6,11,7,13,14,6,3,8,6,9,9,7,14,10,15,8,11,19,9,15,11,5,9,8,13,10,13,6,3,7,12,7,10,7,5,0,2,4,1,2,5,2,1
"248","S01006753",6,2,10,7,14,12,13,7,3,9,6,8,11,10,7,6,7,9,10,9,8,18,20,9,6,2,4,7,10,10,8,4,14,6,13,14,6,7,10,8,12,10,9,13,16,20,5,16,11,16,19,13,8,14,2,12,10,9,14,15,18,16,11,7,11,10,16,16,20,15,15,20,14,18,17,10,7,11,12,11,4,5,5,6,2,3,4,3,1,2,5
"249","S01006754",8,5,10,6,6,2,2,5,6,0,6,6,5,4,10,8,3,9,12,7,10,7,20,7,9,8,8,12,3,7,8,9,9,9,5,2,12,8,10,10,13,16,11,13,7,18,15,15,19,20,16,4,13,11,13,11,4,10,8,12,9,17,16,22,18,22,25,21,12,16,20,14,18,12,17,12,16,8,11,8,4,2,4,4,4,1,2,2,0,3,0
"250","S01006755",10,17,10,17,15,16,13,11,15,10,13,17,10,14,6,10,9,5,7,6,10,6,12,6,7,5,4,12,15,9,19,19,13,18,17,12,9,10,6,23,18,16,17,10,10,17,15,14,10,12,9,13,9,19,10,4,10,5,8,8,6,9,4,6,7,8,5,5,5,2,5,7,1,3,4,4,1,6,3,1,2,2,1,2,1,0,2,2,0,1,1
"251","S01006756",7,11,8,18,4,5,3,12,9,6,3,3,6,6,6,5,7,7,4,8,7,9,14,19,20,22,19,22,10,14,22,31,20,27,16,15,8,12,11,14,13,13,7,7,10,8,10,8,8,9,7,6,7,5,13,7,7,9,7,4,5,5,1,1,0,5,3,1,1,1,1,0,0,1,3,2,3,4,4,2,4,4,1,3,5,3,4,3,5,8,16
"252","S01006757",6,10,9,7,9,5,6,10,8,3,10,5,3,4,8,2,6,8,6,8,5,13,8,10,11,14,10,18,19,13,17,10,9,19,10,17,15,14,10,12,11,9,9,9,8,12,10,12,11,12,10,20,15,18,16,15,16,17,13,6,11,13,7,6,6,6,6,8,3,9,6,6,5,4,6,11,9,4,6,12,6,14,6,11,6,7,4,8,6,5,24
"253","S01006758",5,3,5,7,3,13,4,2,3,6,5,6,5,3,9,5,5,11,9,4,11,9,11,8,5,11,5,11,5,11,19,7,13,8,4,8,7,10,10,7,9,13,12,6,11,8,12,18,10,16,9,16,16,14,11,11,13,9,8,13,15,13,14,13,10,13,12,6,6,6,5,2,6,7,6,2,3,4,7,3,1,0,2,0,0,1,3,0,2,1,0
"254","S01006759",2,3,4,3,4,10,4,6,5,9,7,3,13,6,13,5,6,5,4,13,7,7,7,7,5,7,7,7,5,3,5,4,12,0,12,7,7,4,16,2,7,6,4,9,11,16,10,8,16,5,8,14,9,9,11,10,9,8,9,9,9,10,8,11,15,13,13,6,8,5,4,4,2,9,1,8,9,1,2,1,2,1,2,2,3,0,2,1,1,0,1
"255","S01006760",6,3,3,7,8,6,4,2,2,1,0,3,6,2,4,1,3,5,3,8,2,3,8,5,14,6,9,11,9,13,11,14,13,4,11,10,10,6,6,12,3,7,7,2,8,7,4,3,5,7,8,17,12,6,7,7,8,8,5,7,9,8,6,6,6,4,6,7,3,2,3,2,3,2,0,1,4,3,3,2,2,1,4,1,0,1,2,0,0,1,0
"256","S01006761",6,4,4,4,2,3,0,2,2,2,3,4,4,6,2,3,8,5,5,4,8,4,13,6,6,15,5,13,4,5,5,7,7,12,9,4,1,11,4,4,6,2,4,7,12,9,5,13,10,16,6,10,17,17,13,10,18,13,17,16,15,12,16,19,14,13,14,8,12,10,8,5,18,6,10,14,5,8,4,7,5,1,5,2,1,4,0,1,1,1,2
"257","S01006762",4,1,7,6,7,7,6,4,2,8,4,10,6,3,7,8,7,10,4,1,4,6,9,7,6,4,2,12,7,7,5,9,4,8,8,6,10,5,3,9,4,10,9,7,14,8,18,7,5,10,8,10,12,10,19,24,18,15,15,21,22,13,13,15,17,24,18,14,10,9,14,12,11,10,6,11,14,5,10,10,5,10,11,12,9,12,3,7,11,3,14
"258","S01006763",16,19,20,18,13,16,10,13,11,4,8,9,10,8,11,14,9,6,5,11,10,15,7,10,8,10,12,11,15,22,15,27,20,16,13,20,7,35,15,11,19,27,17,20,20,20,12,11,11,9,15,9,9,11,11,10,9,11,9,9,4,7,9,2,1,4,4,1,1,0,2,2,2,4,2,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0
"259","S01006764",7,12,10,10,16,10,3,7,7,7,7,6,5,7,3,8,9,4,10,6,6,10,7,14,14,14,19,12,19,21,19,21,6,9,18,17,10,9,13,16,13,14,11,5,11,5,11,9,20,10,15,14,13,17,18,17,18,8,14,14,7,10,15,15,9,6,4,3,7,3,3,2,2,2,1,3,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0
"260","S01006765",11,6,8,4,5,6,5,6,1,7,4,3,4,4,6,3,7,7,5,7,1,6,14,11,11,4,3,12,12,13,15,9,14,13,8,10,5,1,7,8,8,4,20,4,9,14,13,9,4,9,12,7,15,11,12,16,12,6,4,9,2,7,1,7,7,6,11,6,3,2,3,2,4,0,0,2,0,0,0,2,1,2,1,1,0,0,1,2,0,0,0
"261","S01006766",2,8,2,3,2,3,6,6,5,2,9,4,4,6,13,4,11,7,9,7,3,9,7,11,7,16,6,5,15,6,9,8,5,9,7,10,11,5,9,6,5,8,5,10,9,10,16,14,11,8,9,12,7,9,12,8,13,20,14,11,10,12,7,6,14,7,2,4,6,0,2,2,1,5,0,3,0,2,1,0,0,3,0,2,2,0,3,0,0,0,1
"262","S01006767",7,6,8,4,11,5,11,7,5,3,4,5,5,6,6,8,11,4,6,7,12,8,12,11,6,6,7,7,12,9,6,6,10,4,6,9,5,6,4,5,8,13,14,10,10,3,11,11,16,11,14,4,16,6,10,15,10,11,20,8,12,8,15,13,9,10,12,14,5,8,5,3,10,6,8,6,2,3,4,3,4,4,3,1,2,3,4,0,3,2,2
"263","S01006768",9,9,6,3,5,5,4,2,7,6,8,5,2,4,9,11,11,5,9,8,9,14,13,7,4,4,5,2,0,1,4,6,6,2,8,7,11,13,5,1,8,5,5,9,8,9,19,19,13,15,13,5,8,14,11,10,7,6,11,15,19,6,11,8,6,14,11,8,6,5,4,3,2,2,4,4,1,2,3,2,0,0,2,0,2,0,0,0,0,0,2
"264","S01006769",4,13,13,12,9,8,12,10,9,11,10,18,10,6,9,12,16,6,9,9,13,10,9,10,11,12,4,16,15,23,4,14,18,14,17,12,13,17,11,8,16,10,10,9,12,13,11,10,14,20,15,11,19,15,11,10,9,17,13,20,15,18,12,16,14,14,22,18,17,11,8,7,10,3,6,14,5,2,3,4,0,8,2,3,4,0,1,1,2,2,1
"265","S01006770",8,3,6,5,5,7,7,7,2,3,4,10,0,8,2,2,5,5,8,8,3,3,8,6,4,3,4,8,10,9,3,6,5,3,2,10,8,11,2,8,6,7,4,2,7,6,7,3,6,11,8,10,13,4,15,16,12,19,19,25,17,11,15,12,11,16,14,9,8,10,7,7,4,6,10,8,8,7,3,1,2,1,1,1,2,2,0,0,1,1,2
"266","S01006771",6,3,3,7,4,4,10,3,3,6,2,3,9,3,7,4,6,8,9,4,10,13,4,15,5,3,2,5,6,4,5,6,7,14,2,3,6,5,3,2,7,6,3,5,8,7,8,10,8,5,11,10,9,6,8,7,6,5,8,7,8,8,3,9,6,9,8,5,5,3,1,3,3,0,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"267","S01006772",8,10,3,5,7,9,7,1,11,10,4,11,7,5,14,2,7,7,6,6,13,16,4,15,5,16,12,6,18,8,12,14,14,10,13,7,6,11,10,15,14,13,11,8,14,8,10,10,19,14,14,19,7,13,10,16,19,22,12,16,20,13,15,16,12,23,18,4,4,9,10,5,2,10,7,6,2,6,8,6,2,3,4,2,6,5,0,0,0,0,0
"268","S01006773",7,8,4,6,8,6,6,9,11,8,5,10,6,10,8,10,12,11,14,7,12,10,14,13,14,18,15,10,11,18,6,6,14,6,8,12,5,8,14,9,13,4,16,12,12,12,10,19,12,12,16,13,6,11,13,20,14,17,6,10,7,15,4,11,19,10,13,12,6,5,4,5,2,4,5,4,1,3,3,8,8,6,2,10,6,7,4,6,9,11,11
"269","S01006774",3,5,2,6,4,4,8,4,5,4,10,5,11,6,3,9,5,11,7,15,3,12,8,8,10,9,9,6,11,10,1,10,4,7,8,7,3,6,4,5,6,9,7,8,15,12,12,7,9,14,9,12,8,13,17,19,11,21,6,15,10,11,10,12,13,12,13,8,5,6,7,3,1,4,2,2,3,2,0,0,0,1,0,1,0,0,1,0,0,1,0
"270","S01006775",6,5,7,8,5,6,3,5,3,8,3,1,3,2,4,4,7,6,3,12,11,15,17,8,15,8,11,13,16,13,12,16,7,7,9,14,6,11,6,3,7,7,8,14,15,13,12,6,14,8,6,7,14,10,10,10,4,6,9,10,5,6,7,8,8,4,6,10,6,2,9,8,7,5,8,5,4,4,3,1,4,4,1,1,5,2,1,0,2,0,5
"271","S01006776",6,8,2,2,4,7,2,0,2,5,3,2,3,3,1,3,5,5,2,4,7,3,3,6,6,3,6,10,9,4,4,5,12,6,2,3,4,5,6,2,7,0,4,1,5,6,7,8,11,2,7,6,2,6,12,5,13,2,6,8,7,8,6,7,13,13,10,6,6,9,7,7,7,3,5,5,7,6,5,6,3,5,3,9,7,4,4,4,4,6,14
"272","S01006777",7,4,7,5,6,5,6,1,4,12,4,8,8,5,7,6,5,5,3,8,6,7,8,4,3,5,8,9,3,4,9,9,8,8,8,6,2,7,7,3,0,11,8,12,7,5,5,9,9,15,7,7,12,7,16,10,11,9,12,19,12,12,18,17,20,24,27,15,14,6,12,10,6,5,5,7,2,4,3,2,2,1,0,2,1,0,0,1,1,0,0
"273","S01006778",6,4,3,5,5,3,3,3,9,3,3,4,5,5,5,3,7,5,6,5,5,11,10,7,7,5,9,5,5,12,6,10,8,5,11,13,4,5,4,8,6,13,8,3,3,9,7,6,4,13,8,12,13,10,8,11,14,12,12,9,14,10,10,11,11,21,11,11,12,12,8,6,2,9,6,10,5,3,3,3,3,3,2,3,3,3,1,0,0,0,2
"274","S01006779",6,2,7,2,6,5,9,8,5,6,5,7,7,4,5,6,9,5,4,9,4,12,15,9,11,8,17,4,5,9,4,5,12,4,5,8,5,4,11,5,7,6,4,7,10,8,8,15,10,18,11,3,14,4,7,3,12,8,13,4,8,10,5,3,10,10,10,2,8,2,7,8,6,8,5,3,6,3,8,3,1,3,2,4,4,4,6,3,2,2,7
