"","dz2011","simd2020_inc_rate"
"1146","S01007651",0.07
"1147","S01007652",0.1
"1148","S01007653",0.07
"1149","S01007654",0.13
"1150","S01007655",0.07
"1151","S01007656",0.07
"1152","S01007657",0.05
"1153","S01007658",0.07
"1154","S01007659",0.09
"1155","S01007660",0.15
"1156","S01007661",0.12
"1157","S01007662",0.16
"1158","S01007663",0.08
"1159","S01007664",0.18
"1160","S01007665",0.12
"1161","S01007666",0.05
"1162","S01007667",0.04
"1163","S01007668",0.14
"1164","S01007669",0.22
"1165","S01007670",0.22
"1166","S01007671",0.07
"1167","S01007672",0.02
"1168","S01007673",0.04
"1169","S01007674",0.15
"1170","S01007675",0.06
"1171","S01007676",0.03
"1172","S01007677",0.05
"1173","S01007678",0.17
"1174","S01007679",0.18
"1175","S01007680",0.03
"1176","S01007681",0.08
"1177","S01007682",0.05
"1178","S01007683",0.01
"1179","S01007684",0.01
"1180","S01007685",0.02
"1181","S01007686",0.04
"1182","S01007687",0.04
"1183","S01007688",0.07
"1184","S01007689",0.09
"1185","S01007690",0.1
"1186","S01007691",0.06
"1187","S01007692",0.08
"1188","S01007693",0.09
"1189","S01007694",0.17
"1190","S01007695",0.13
"1191","S01007696",0.2
"1192","S01007697",0.13
"1193","S01007698",0.16
"1194","S01007699",0.19
"1195","S01007700",0.07
"1196","S01007701",0.35
"1197","S01007702",0.02
"1198","S01007703",0.12
"1199","S01007704",0.3
"1200","S01007705",0.16
"1201","S01007706",0.06
"1202","S01007707",0.04
"1203","S01007708",0.31
"1204","S01007709",0.23
"1205","S01007710",0.14
"1206","S01007711",0.21
"1207","S01007712",0.11
"1208","S01007713",0.24
"1209","S01007714",0.18
"1210","S01007715",0.33
"1211","S01007716",0.29
"1212","S01007717",0.32
"1213","S01007718",0.29
"1214","S01007719",0.25
"1215","S01007720",0.17
"1216","S01007721",0.17
"1217","S01007722",0.29
"1218","S01007723",0.32
"1219","S01007724",0.34
"1220","S01007725",0.33
"1221","S01007726",0.27
"1222","S01007727",0.26
"1223","S01007728",0.26
"1224","S01007729",0.26
"1225","S01007730",0.17
"1226","S01007731",0.15
"1227","S01007732",0.16
"1228","S01007733",0.11
"1229","S01007734",0.04
"1230","S01007735",0.04
"1231","S01007736",0.06
"1232","S01007737",0.11
"1233","S01007738",0.08
"1234","S01007739",0.17
"1235","S01007740",0.11
"1236","S01007741",0.23
"1237","S01007742",0.13
"1238","S01007743",0.21
"1239","S01007744",0.33
"1240","S01007745",0.23
"1241","S01007746",0.22
"1242","S01007747",0.26
"1243","S01007748",0.36
"1244","S01007749",0.04
"1245","S01007750",0.03
"1246","S01007751",0.06
"1247","S01007752",0.06
"1248","S01007753",0.23
"1249","S01007754",0.28
"1250","S01007755",0.3
"1251","S01007756",0.23
"1252","S01007757",0.04
"1253","S01007758",0.06
"1254","S01007759",0.14
"1255","S01007760",0.02
"1256","S01007761",0.03
"1257","S01007762",0.07
"1258","S01007763",0.21
"1259","S01007764",0.03
"1260","S01007765",0.01
"1261","S01007766",0.02
"1262","S01007767",0.03
"1263","S01007768",0.07
"1264","S01007769",0.05
"1265","S01007770",0.01
"1266","S01007771",0.03
"1267","S01007772",0.17
"1268","S01007773",0.02
"1269","S01007774",0.02
"1270","S01007775",0.04
"1271","S01007776",0.01
"1272","S01007777",0.02
"1273","S01007778",0.06
"1274","S01007779",0.07
"1275","S01007780",0.04
"1276","S01007781",0.06
"1277","S01007782",0.31
"1278","S01007783",0.29
"1279","S01007784",0.19
"1280","S01007785",0.34
"1281","S01007786",0.14
"1282","S01007787",0.18
"1283","S01007788",0.3
"1284","S01007789",0.27
"1285","S01007790",0.38
"1286","S01007791",0.04
"1287","S01007792",0.17
"1288","S01007793",0.3
"1289","S01007794",0.13
"1290","S01007795",0.15
"1291","S01007796",0.2
"1292","S01007797",0.36
"1293","S01007798",0.04
"1294","S01007799",0.04
"1295","S01007800",0.31
"1296","S01007801",0.46
"1297","S01007802",0.08
"1298","S01007803",0.38
"1299","S01007804",0.36
"1300","S01007805",0.34
"1301","S01007806",0.17
"1302","S01007807",0.06
"1303","S01007808",0.26
"1304","S01007809",0.03
"1305","S01007810",0.3
"1306","S01007811",0.25
"1307","S01007812",0.42
"1308","S01007813",0.23
"1309","S01007814",0.14
"1310","S01007815",0.05
"1311","S01007816",0.02
"1312","S01007817",0.1
"1313","S01007818",0.08
"1314","S01007819",0.09
"1315","S01007820",0.18
"1316","S01007821",0.08
"1317","S01007822",0.11
"1318","S01007823",0.05
"1319","S01007824",0.08
"1320","S01007825",0.08
"1321","S01007826",0.3
"1322","S01007827",0.1
"1323","S01007828",0.22
"1324","S01007829",0.18
"1325","S01007830",0.26
"1326","S01007831",0.24
"1327","S01007832",0.21
"1328","S01007833",0.18
"1329","S01007834",0.25
"1330","S01007835",0.11
"1331","S01007836",0.09
"1332","S01007837",0.03
"1333","S01007838",0.04
"1334","S01007839",0.11
"1335","S01007840",0.17
"1336","S01007841",0.17
"1337","S01007842",0.31
"1338","S01007843",0.18
"1339","S01007844",0.27
"1340","S01007845",0.33
"1341","S01007846",0.17
"1342","S01007847",0.28
"1343","S01007848",0.31
"1344","S01007849",0.26
"1345","S01007850",0.27
"1346","S01007851",0.14
"1347","S01007852",0.32
"1348","S01007853",0.42
"1349","S01007854",0.32
"1350","S01007855",0.28
"1351","S01007856",0.11
"1352","S01007857",0.27
"1353","S01007858",0.24
"1354","S01007859",0.32
"1355","S01007860",0.15
"1356","S01007861",0.18
"1357","S01007862",0.19
"1358","S01007863",0.33
"1359","S01007864",0.2
"1360","S01007865",0.02
"1361","S01007866",0.04
"1362","S01007867",0.04
"1363","S01007868",0.02
"1364","S01007869",0.04
"1365","S01007870",0.11
"1366","S01007871",0.37
"1367","S01007872",0.44
"1368","S01007873",0.17
"1369","S01007874",0.22
"1370","S01007875",0.13
"1371","S01007876",0.11
"1372","S01007877",0.2
"1373","S01007878",0.19
"1374","S01007879",0.26
"1375","S01007880",0.08
"1376","S01007881",0.19
"1377","S01007882",0.04
"1378","S01007883",0.08
"1379","S01007884",0.11
"1380","S01007885",0.35
"1381","S01007886",0.22
"1382","S01007887",0.05
"1383","S01007888",0.22
"1384","S01007889",0.16
"1385","S01007890",0.11
"1386","S01007891",0.1
"1387","S01007892",0.08
"1388","S01007893",0.04
"1389","S01007894",0.13
"1390","S01007895",0.09
"1391","S01007896",0.19
"1392","S01007897",0.07
"1393","S01007898",0.06
"1394","S01007899",0.06
"1395","S01007900",0.27
"1396","S01007901",0.22
"1397","S01007902",0.31
"1398","S01007903",0.18
"1399","S01007904",0.07
"1400","S01007905",0.3
"1401","S01007906",0.28
"1402","S01007907",0.22
"1403","S01007908",0.11
"1404","S01007909",0.15
"1405","S01007910",0.27
"1406","S01007911",0.17
"1407","S01007912",0.12
"1408","S01007913",0.31
"1409","S01007914",0.26
"1410","S01007915",0.15
"1411","S01007916",0.18
"1412","S01007917",0.2
"1413","S01007918",0.19
"1414","S01007919",0.02
"1415","S01007920",0.06
"1416","S01007921",0.28
"1417","S01007922",0.26
"1418","S01007923",0.09
"1419","S01007924",0.22
"1420","S01007925",0.03
"1421","S01007926",0.06
"1422","S01007927",0.05
"1423","S01007928",0.05
"1424","S01007929",0.04
"1425","S01007930",0.02
"1426","S01007931",0.08
"1427","S01007932",0.03
"1428","S01007933",0.09
"1429","S01007934",0.17
"1430","S01007935",0.18
"1431","S01007936",0.02
"1432","S01007937",0.05
"1433","S01007938",0.17
"1434","S01007939",0.19
"1435","S01007940",0.12
"1436","S01007941",0.02
"1437","S01007942",0.13
"1438","S01007943",0.15
"1439","S01007944",0.14
"1440","S01007945",0.23
"1441","S01007946",0.17
"1442","S01007947",0.09
"1443","S01007948",0.28
"1444","S01007949",0.08
"1445","S01007950",0.05
"1446","S01007951",0.1
"1447","S01007952",0.27
"1448","S01007953",0.18
"1449","S01007954",0.3
"1450","S01007955",0.22
"1451","S01007956",0.25
"1452","S01007957",0.19
"1453","S01007958",0.25
"1454","S01007959",0.09
"1455","S01007960",0.12
"1456","S01007961",0.04
"1457","S01007962",0.29
"1458","S01007963",0.46
"1459","S01007964",0.27
"1460","S01007965",0.28
"1461","S01007966",0.29
"1462","S01007967",0.29
"1463","S01007968",0.17
"1464","S01007969",0.17
"1465","S01007970",0.19
"1466","S01007971",0.24
"1467","S01007972",0.15
"1468","S01007973",0.03
"1469","S01007974",0.23
"1470","S01007975",0.17
"1471","S01007976",0.27
"1472","S01007977",0.06
"1473","S01007978",0.17
"1474","S01007979",0.09
"1475","S01007980",0.09
"1476","S01007981",0.06
"1477","S01007982",0.08
"1478","S01007983",0.25
"1479","S01007984",0.09
"1480","S01007985",0.19
"1481","S01007986",0.11
"1482","S01007987",0.13
"1483","S01007988",0.14
"1484","S01007989",0.24
"1485","S01007990",0.17
"1486","S01007991",0.02
"1487","S01007992",0.02
"1488","S01007993",0.02
"1489","S01007994",0.02
"1490","S01007995",0.02
"1491","S01007996",0.02
"1492","S01007997",0.02
"1493","S01007998",0.05
"1494","S01007999",0.18
"1495","S01008000",0.25
"1496","S01008001",0.37
"1497","S01008002",0.32
"1498","S01008003",0.2
"1499","S01008004",0.08
"1500","S01008005",0.12
"1501","S01008006",0.39
"1502","S01008007",0.44
"1503","S01008008",0.31
"1504","S01008009",0.27
"1505","S01008010",0.19
"1506","S01008011",0.32
"1507","S01008012",0.24
"1508","S01008013",0.21
"1509","S01008014",0.1
"1510","S01008015",0.18
"1511","S01008016",0.15
"1512","S01008017",0.03
"1513","S01008018",0.05
"1514","S01008019",0.03
"1515","S01008020",0.08
"1516","S01008021",0.03
"1517","S01008022",0.02
"1518","S01008023",0.01
"1519","S01008024",0
"1520","S01008025",0.05
"1521","S01008026",0.15
"1522","S01008027",0.15
"1523","S01008028",0.05
"1524","S01008029",0.06
"1525","S01008030",0.1
"1526","S01008031",0.16
"1527","S01008032",0.11
"1528","S01008033",0.02
"1529","S01008034",0.02
"1530","S01008035",0.08
"1531","S01008036",0.03
"1532","S01008037",0.15
"1533","S01008038",0.13
"1534","S01008039",0.08
"1535","S01008040",0.03
"1536","S01008041",0.06
"1537","S01008042",0.04
"1538","S01008043",0.02
"1539","S01008044",0.02
"1540","S01008045",0.04
"1541","S01008046",0.17
"1542","S01008047",0.04
"1543","S01008048",0.03
"1544","S01008049",0.01
"1545","S01008050",0.02
"1546","S01008051",0.02
"1547","S01008052",0.02
"1548","S01008053",0.03
"1549","S01008054",0.05
"1550","S01008055",0.01
"1551","S01008056",0.05
"1552","S01008057",0.03
"1553","S01008058",0.02
"1554","S01008059",0.02
"1555","S01008060",0.03
"1556","S01008061",0.05
"1557","S01008062",0.03
"1558","S01008063",0.04
"1559","S01008064",0.17
"1560","S01008065",0.02
"1561","S01008066",0.01
"1562","S01008067",0.03
"1563","S01008068",0.03
"1564","S01008069",0.03
"1565","S01008070",0.07
"1566","S01008071",0.06
"1567","S01008072",0.04
"1568","S01008073",0.01
"1569","S01008074",0.03
"1570","S01008075",0.02
"1571","S01008076",0.02
"1572","S01008077",0.01
"1573","S01008078",0.03
"1574","S01008079",0.03
"1575","S01008080",0.04
"1576","S01008081",0.03
"1577","S01008082",0.03
"1578","S01008083",0.02
"1579","S01008084",0.06
"1580","S01008085",0.03
"1581","S01008086",0.05
"1582","S01008087",0.03
"1583","S01008088",0.04
"1584","S01008089",0.04
"1585","S01008090",0.06
"1586","S01008091",0.03
"1587","S01008092",0.04
"1588","S01008093",0.03
"1589","S01008094",0.02
"1590","S01008095",0.07
"1591","S01008096",0.04
"1592","S01008097",0.04
"1593","S01008098",0.03
"1594","S01008099",0.04
"1595","S01008100",0.07
"1596","S01008101",0.07
"1597","S01008102",0.08
"1598","S01008103",0.23
"1599","S01008104",0.19
"1600","S01008105",0.18
"1601","S01008106",0.18
"1602","S01008107",0.04
"1603","S01008108",0.05
"1604","S01008109",0.03
"1605","S01008110",0.03
"1606","S01008111",0.04
"1607","S01008112",0.04
"1608","S01008113",0.06
"1609","S01008114",0.03
"1610","S01008115",0.06
"1611","S01008116",0.04
"1612","S01008117",0.07
"1613","S01008118",0.08
"1614","S01008119",0.13
"1615","S01008120",0.09
"1616","S01008121",0.01
"1617","S01008122",0.01
"1618","S01008123",0.02
"1619","S01008124",0.02
"1620","S01008125",0.04
"1621","S01008126",0.03
"1622","S01008127",0.01
"1623","S01008128",0.03
"1624","S01008129",0.17
"1625","S01008130",0.17
"1626","S01008131",0.21
"1627","S01008132",0.04
"1628","S01008133",0.14
"1629","S01008134",0.14
"1630","S01008135",0.13
"1631","S01008136",0.15
"1632","S01008137",0.37
"1633","S01008138",0.26
"1634","S01008139",0.29
"1635","S01008140",0.19
"1636","S01008141",0.04
"1637","S01008142",0.03
"1638","S01008143",0.2
"1639","S01008144",0.02
"1640","S01008145",0.14
"1641","S01008146",0.13
"1642","S01008147",0.09
"1643","S01008148",0.08
"1644","S01008149",0.16
"1645","S01008150",0.18
"1646","S01008151",0.16
"1647","S01008152",0.14
"1648","S01008153",0.03
"1649","S01008154",0.06
"1650","S01008155",0.09
"1651","S01008156",0.1
"1652","S01008157",0.07
"1653","S01008158",0.03
"1654","S01008159",0.28
"1655","S01008160",0.19
"1656","S01008161",0.05
"1657","S01008162",0.07
"1658","S01008163",0.19
"1659","S01008164",0.08
"1660","S01008165",0.03
"1661","S01008166",0.13
"1662","S01008167",0.23
"1663","S01008168",0.18
"1664","S01008169",0.13
"1665","S01008170",0.05
"1666","S01008171",0.17
"1667","S01008172",0.1
"1668","S01008173",0.06
"1669","S01008174",0.07
"1670","S01008175",0.16
"1671","S01008176",0.06
"1672","S01008177",0.14
"1673","S01008178",0.06
"1674","S01008179",0.01
"1675","S01008180",0.01
"1676","S01008181",0.02
"1677","S01008182",0.13
"1678","S01008183",0.12
"1679","S01008184",0.15
"1680","S01008185",0.19
"1681","S01008186",0.14
"1682","S01008187",0.23
"1683","S01008188",0.21
"1684","S01008189",0.09
"1685","S01008190",0.26
"1686","S01008191",0.14
"1687","S01008192",0.2
"1688","S01008193",0.08
"1689","S01008194",0.14
"1690","S01008195",0.2
"1691","S01008196",0.21
"1692","S01008197",0.04
"1693","S01008198",0.14
"1694","S01008199",0.2
"1695","S01008200",0.22
"1696","S01008201",0.2
"1697","S01008202",0.12
"1698","S01008203",0.27
"1699","S01008204",0.14
"1700","S01008205",0.14
"1701","S01008206",0.18
"1702","S01008207",0.18
"1703","S01008208",0.08
"1704","S01008209",0.05
"1705","S01008210",0.14
"1706","S01008211",0.14
"1707","S01008212",0.04
"1708","S01008213",0.04
"1709","S01008214",0.13
"1710","S01008215",0.08
"1711","S01008216",0.03
"1712","S01008217",0.02
"1713","S01008218",0.04
"1714","S01008219",0.14
"1715","S01008220",0.26
"1716","S01008221",0.31
"1717","S01008222",0.17
"1718","S01008223",0.19
"1719","S01008224",0.03
"1720","S01008225",0.09
"1721","S01008226",0.26
"1722","S01008227",0.16
"1723","S01008228",0.04
"1724","S01008229",0.17
"1725","S01008230",0.06
"1726","S01008231",0.03
"1727","S01008232",0.1
"1728","S01008233",0.05
"1729","S01008234",0.12
"1730","S01008235",0.13
"1731","S01008236",0.1
"1732","S01008237",0.15
"1733","S01008238",0.15
"1734","S01008239",0.14
"1735","S01008240",0.02
"1736","S01008241",0.02
"1737","S01008242",0.07
"1738","S01008243",0.04
"1739","S01008244",0.05
"1740","S01008245",0.05
"1741","S01008246",0.05
"1742","S01008247",0.06
"1743","S01008248",0.08
"1744","S01008249",0.07
"1745","S01008250",0.05
"1746","S01008251",0.01
"1747","S01008252",0.02
"1748","S01008253",0.08
"1749","S01008254",0.13
"1750","S01008255",0.11
"1751","S01008256",0.2
"1752","S01008257",0.12
"1753","S01008258",0.06
"1754","S01008259",0.09
"1755","S01008260",0.15
"1756","S01008261",0.17
"1757","S01008262",0.05
"1758","S01008263",0.04
"1759","S01008264",0.08
"1760","S01008265",0.03
"1761","S01008266",0.03
"1762","S01008267",0.04
"1763","S01008268",0.03
"1764","S01008269",0.03
"1765","S01008270",0.02
"1766","S01008271",0.1
"1767","S01008272",0.05
"1768","S01008273",0.04
"1769","S01008274",0.1
"1770","S01008275",0.06
"1771","S01008276",0.04
"1772","S01008277",0.05
"1773","S01008278",0.03
"1774","S01008279",0.05
"1775","S01008280",0.06
"1776","S01008281",0.06
"1777","S01008282",0.05
"1778","S01008283",0.04
"1779","S01008284",0.08
"1780","S01008285",0.13
"1781","S01008286",0.11
"1782","S01008287",0.09
"1783","S01008288",0.11
"1784","S01008289",0.15
"1785","S01008290",0.12
"1786","S01008291",0.04
"1787","S01008292",0.14
"1788","S01008293",0.02
"1789","S01008294",0.05
"1790","S01008295",0.03
"1791","S01008296",0.14
"1792","S01008297",0.06
"1793","S01008298",0.07
"1794","S01008299",0.24
"1795","S01008300",0.16
"1796","S01008301",0.02
"1797","S01008302",0.02
"1798","S01008303",0.11
"1799","S01008304",0.08
"1800","S01008305",0.02
"1801","S01008306",0.05
"1802","S01008307",0.05
"1803","S01008308",0.01
"1804","S01008309",0.22
"1805","S01008310",0.12
"1806","S01008311",0.16
"1807","S01008312",0.06
"1808","S01008313",0.26
"1809","S01008314",0.26
"1810","S01008315",0.29
"1811","S01008316",0.38
"1812","S01008317",0.19
"1813","S01008318",0.05
"1814","S01008319",0.13
"1815","S01008320",0.09
"1816","S01008321",0.03
"1817","S01008322",0.17
"1818","S01008323",0.22
"1819","S01008324",0.16
"1820","S01008325",0.17
"1821","S01008326",0.24
"1822","S01008327",0.13
"1823","S01008328",0.06
"1824","S01008329",0.02
"1825","S01008330",0.04
"1826","S01008331",0.05
"1827","S01008332",0.06
"1828","S01008333",0.06
"1829","S01008334",0.03
"1830","S01008335",0.15
"1831","S01008336",0.14
"1832","S01008337",0.07
"1833","S01008338",0.01
"1834","S01008339",0.03
"1835","S01008340",0.06
"1836","S01008341",0.02
"1837","S01008342",0.11
"1838","S01008343",0.01
"1839","S01008344",0.02
"1840","S01008345",0.03
"1841","S01008346",0.01
"1842","S01008347",0.05
"1843","S01008348",0.06
"1844","S01008349",0.01
"1845","S01008350",0.01
"1846","S01008351",0.03
"1847","S01008352",0.03
"1848","S01008353",0.01
"1849","S01008354",0.06
"1850","S01008355",0.11
"1851","S01008356",0.04
"1852","S01008357",0.04
"1853","S01008358",0.12
"1854","S01008359",0.04
"1855","S01008360",0.02
"1856","S01008361",0.03
"1857","S01008362",0.04
"1858","S01008363",0.04
"1859","S01008364",0.04
"1860","S01008365",0.01
"1861","S01008366",0.09
"1862","S01008367",0.17
"1863","S01008368",0.04
"1864","S01008369",0.07
"1865","S01008370",0.04
"1866","S01008371",0.01
"1867","S01008372",0.03
"1868","S01008373",0.01
"1869","S01008374",0.02
"1870","S01008375",0.01
"1871","S01008376",0.02
"1872","S01008377",0.03
"1873","S01008378",0.02
"1874","S01008379",0.01
"1875","S01008380",0.01
"1876","S01008381",0.01
"1877","S01008382",0.02
"1878","S01008383",0.02
"1879","S01008384",0.04
"1880","S01008385",0.02
"1881","S01008386",0.04
"1882","S01008387",0.01
"1883","S01008388",0.04
"1884","S01008389",0.05
"1885","S01008390",0.01
"1886","S01008391",0.04
"1887","S01008392",0.03
"1888","S01008393",0.03
"1889","S01008394",0.01
"1890","S01008395",0.05
"1891","S01008396",0.04
"1892","S01008397",0.02
"1893","S01008398",0.04
"1894","S01008399",0.04
"1895","S01008400",0.03
"1896","S01008401",0.05
"1897","S01008402",0.01
"1898","S01008403",0.01
"1899","S01008404",0.02
"1900","S01008405",0.01
"1901","S01008406",0.09
"1902","S01008407",0.12
"1903","S01008408",0.03
"1904","S01008409",0.1
"1905","S01008410",0.07
"1906","S01008411",0.05
"1907","S01008412",0.06
"1908","S01008413",0.09
"1909","S01008414",0.05
"1910","S01008415",0.08
"1911","S01008416",0.19
"1912","S01008417",0.05
"1913","S01008418",0.02
"1914","S01008419",0.05
"1915","S01008420",0.02
"1916","S01008421",0.1
"1917","S01008422",0.01
"1918","S01008423",0.01
"1919","S01008424",0.02
"1920","S01008425",0.01
"1921","S01008426",0.08
"1922","S01008427",0.01
"1923","S01008428",0.08
"1924","S01008429",0.02
"1925","S01008430",0.05
"1926","S01008431",0.03
"1927","S01008432",0.01
"1928","S01008433",0.03
"1929","S01008434",0.03
"1930","S01008435",0.01
"1931","S01008436",0.03
"1932","S01008437",0.04
"1933","S01008438",0.03
"1934","S01008439",0.02
"1935","S01008440",0.02
"1936","S01008441",0.01
"1937","S01008442",0.01
"1938","S01008443",0.03
"1939","S01008444",0.03
"1940","S01008445",0.06
"1941","S01008446",0.01
"1942","S01008447",0.01
"1943","S01008448",0.02
"1944","S01008449",0.24
"1945","S01008450",0.23
"1946","S01008451",0.28
"1947","S01008452",0.33
"1948","S01008453",0.11
"1949","S01008454",0.27
"1950","S01008455",0.23
"1951","S01008456",0.31
"1952","S01008457",0.22
"1953","S01008458",0.12
"1954","S01008459",0.28
"1955","S01008460",0.36
"1956","S01008461",0.31
"1957","S01008462",0.32
"1958","S01008463",0.31
"1959","S01008464",0.08
"1960","S01008465",0.09
"1961","S01008466",0.07
"1962","S01008467",0.11
"1963","S01008468",0.1
"1964","S01008469",0.11
"1965","S01008470",0.23
"1966","S01008471",0.26
"1967","S01008472",0.21
"1968","S01008473",0.22
"1969","S01008474",0.25
"1970","S01008475",0.17
"1971","S01008476",0.17
"1972","S01008477",0.17
"1973","S01008478",0.18
"1974","S01008479",0.15
"1975","S01008480",0.13
"1976","S01008481",0.1
"1977","S01008482",0.16
"1978","S01008483",0.19
"1979","S01008484",0.07
"1980","S01008485",0.04
"1981","S01008486",0.13
"1982","S01008487",0.03
"1983","S01008488",0.11
"1984","S01008489",0.11
"1985","S01008490",0.09
"1986","S01008491",0.07
"1987","S01008492",0.12
"1988","S01008493",0.11
"1989","S01008494",0.13
"1990","S01008495",0.07
"1991","S01008496",0.07
"1992","S01008497",0.06
"1993","S01008498",0.11
"1994","S01008499",0.08
"1995","S01008500",0.21
"1996","S01008501",0.05
"1997","S01008502",0.02
"1998","S01008503",0.03
"1999","S01008504",0.02
"2000","S01008505",0.02
"2001","S01008506",0.03
"2002","S01008507",0.03
"2003","S01008508",0.01
"2004","S01008509",0.02
"2005","S01008510",0.02
"2006","S01008511",0.01
"2007","S01008512",0
"2008","S01008513",0.01
"2009","S01008514",0.03
"2010","S01008515",0.02
"2011","S01008516",0.05
"2012","S01008517",0.03
"2013","S01008518",0.01
"2014","S01008519",0.01
"2015","S01008520",0.01
"2016","S01008521",0.02
"2017","S01008522",0.01
"2018","S01008523",0.01
"2019","S01008524",0.23
"2020","S01008525",0.21
"2021","S01008526",0.12
"2022","S01008527",0.06
"2023","S01008528",0.08
"2024","S01008529",0.09
"2025","S01008530",0.3
"2026","S01008531",0.17
"2027","S01008532",0.18
"2028","S01008533",0.04
"2029","S01008534",0.02
"2030","S01008535",0.01
"2031","S01008536",0.02
"2032","S01008537",0
"2033","S01008538",0.01
"2034","S01008539",0.02
"2035","S01008540",0.01
"2036","S01008541",0.02
"2037","S01008542",0.01
"2038","S01008543",0.02
"2039","S01008544",0.02
"2040","S01008545",0.01
"2041","S01008546",0.01
"2042","S01008547",0.04
"2043","S01008548",0.07
"2044","S01008549",0.06
"2045","S01008550",0.04
"2046","S01008551",0.05
"2047","S01008552",0.03
"2048","S01008553",0.13
"2049","S01008554",0.25
"2050","S01008555",0.24
"2051","S01008556",0.21
"2052","S01008557",0.2
"2053","S01008558",0.21
"2054","S01008559",0.11
"2055","S01008560",0.18
"2056","S01008561",0.09
"2057","S01008562",0.29
"2058","S01008563",0.19
"2059","S01008564",0.14
"2060","S01008565",0.24
"2061","S01008566",0.18
"2062","S01008567",0.17
"2063","S01008568",0.07
"2064","S01008569",0.38
"2065","S01008570",0.25
"2066","S01008571",0.16
"2067","S01008572",0.13
"2068","S01008573",0.04
"2069","S01008574",0.03
"2070","S01008575",0.02
"2071","S01008576",0.04
"2072","S01008577",0.07
"2073","S01008578",0.04
"2074","S01008579",0.05
"2075","S01008580",0.09
"2076","S01008581",0.21
"2077","S01008582",0.17
"2078","S01008583",0.16
"2079","S01008584",0.14
"2080","S01008585",0.22
"2081","S01008586",0.15
"2082","S01008587",0.05
"2083","S01008588",0.02
"2084","S01008589",0.07
"2085","S01008590",0.02
"2086","S01008591",0.04
"2087","S01008592",0.06
"2088","S01008593",0.01
"2089","S01008594",0.03
"2090","S01008595",0.21
"2091","S01008596",0.14
"2092","S01008597",0.03
"2093","S01008598",0.05
"2094","S01008599",0.01
"2095","S01008600",0.04
"2096","S01008601",0.01
"2097","S01008602",0.06
"2098","S01008603",0.06
"2099","S01008604",0.03
"2100","S01008605",0.03
"2101","S01008606",0.02
"2102","S01008607",0.03
"2103","S01008608",0.03
"2104","S01008609",0.03
"2105","S01008610",0.04
"2106","S01008611",0.02
"2107","S01008612",0.04
"2108","S01008613",0.03
"2109","S01008614",0.05
"2110","S01008615",0.02
"2111","S01008616",0.02
"2112","S01008617",0.01
"2113","S01008618",0.01
"2114","S01008619",0.04
"2115","S01008620",0.01
"2116","S01008621",0.01
"2117","S01008622",0
"2118","S01008623",0.02
"2119","S01008624",0.05
"2120","S01008625",0.03
"2121","S01008626",0.01
"2122","S01008627",0.01
"2123","S01008628",0.05
"2124","S01008629",0.03
"2125","S01008630",0.03
"2126","S01008631",0.03
"2127","S01008632",0.09
"2128","S01008633",0.03
"2129","S01008634",0.02
"2130","S01008635",0.02
"2131","S01008636",0.01
"2132","S01008637",0.01
"2133","S01008638",0.08
"2134","S01008639",0.05
"2135","S01008640",0.01
"2136","S01008641",0.01
"2137","S01008642",0.02
"2138","S01008643",0.03
"2139","S01008644",0.08
"2140","S01008645",0.04
"2141","S01008646",0.03
"2142","S01008647",0.04
"2143","S01008648",0.06
"2144","S01008649",0.07
"2145","S01008650",0.08
"2146","S01008651",0.06
"2147","S01008652",0.17
"2148","S01008653",0.11
"2149","S01008654",0.11
"2150","S01008655",0.06
"2151","S01008656",0.16
"2152","S01008657",0.1
"2153","S01008658",0.09
"2154","S01008659",0.1
"2155","S01008660",0.04
"2156","S01008661",0.09
"2157","S01008662",0.1
"2158","S01008663",0.09
"2159","S01008664",0.06
"2160","S01008665",0.08
"2161","S01008666",0.02
"2162","S01008667",0.06
"2163","S01008668",0.03
"2164","S01008669",0.02
"2165","S01008670",0.02
"2166","S01008671",0.05
"2167","S01008672",0.03
"2168","S01008673",0.07
"2169","S01008674",0.05
"2170","S01008675",0.09
"2171","S01008676",0.07
"2172","S01008677",0.08
"2173","S01008678",0.07
"2174","S01008679",0.17
"2175","S01008680",0.06
"2176","S01008681",0.1
"2177","S01008682",0.09
"2178","S01008683",0.12
"2179","S01008684",0.16
"2180","S01008685",0.08
"2181","S01008686",0.15
"2182","S01008687",0.08
"2183","S01008688",0.09
"2184","S01008689",0.07
"2185","S01008690",0.04
"2186","S01008691",0.1
"2187","S01008692",0.08
"2188","S01008693",0.04
"2189","S01008694",0.05
"2190","S01008695",0.07
"2191","S01008696",0.02
"2192","S01008697",0.03
"2193","S01008698",0.02
"2194","S01008699",0.17
"2195","S01008700",0.02
"2196","S01008701",0.23
"2197","S01008702",0.15
"2198","S01008703",0.34
"2199","S01008704",0.15
"2200","S01008705",0.26
"2201","S01008706",0.28
"2202","S01008707",0.4
"2203","S01008708",0.34
"2204","S01008709",0.26
"2205","S01008710",0.3
"2206","S01008711",0.27
"2207","S01008712",0.36
"2208","S01008713",0.36
"2209","S01008714",0.17
"2210","S01008715",0.21
"2211","S01008716",0.21
"2212","S01008717",0.1
"2213","S01008718",0.06
"2214","S01008719",0.1
"2215","S01008720",0.09
"2216","S01008721",0.02
"2217","S01008722",0.07
"2218","S01008723",0.05
"2219","S01008724",0.04
"2220","S01008725",0.05
"2221","S01008726",0.01
