"","dz2011","simd2020_inc_rate"
"266","S01006771",0.03
"267","S01006772",0.01
"268","S01006773",0.03
"269","S01006774",0.02
"270","S01006775",0.07
"271","S01006776",0.15
"272","S01006777",0.01
"273","S01006778",0.04
"274","S01006779",0.14
"275","S01006780",0.07
"276","S01006781",0.03
"277","S01006782",0.02
"278","S01006783",0.07
"279","S01006784",0.04
"280","S01006785",0.01
"281","S01006786",0.04
"282","S01006787",0.05
"283","S01006788",0.04
"284","S01006789",0.06
"285","S01006790",0.06
"286","S01006791",0.07
"287","S01006792",0.03
"288","S01006793",0.04
"289","S01006794",0.09
"290","S01006795",0.06
"291","S01006796",0.04
"292","S01006797",0.02
"293","S01006798",0.04
"294","S01006799",0.07
"295","S01006800",0.03
"296","S01006801",0.05
"297","S01006802",0.05
"298","S01006803",0.11
"299","S01006804",0.03
"300","S01006805",0.06
"301","S01006806",0.06
"302","S01006807",0.09
"303","S01006808",0.02
"304","S01006809",0.11
"305","S01006810",0.08
"306","S01006811",0.06
"307","S01006812",0.07
"308","S01006813",0.07
"309","S01006814",0.03
"310","S01006815",0.11
"311","S01006816",0.06
"312","S01006817",0.03
"313","S01006818",0.02
"314","S01006819",0.02
"315","S01006820",0.02
"316","S01006821",0.03
"317","S01006822",0.03
"318","S01006823",0.04
"319","S01006824",0.13
"320","S01006825",0.06
"321","S01006826",0.05
"322","S01006827",0.09
"323","S01006828",0.08
"324","S01006829",0.02
"325","S01006830",0.07
"326","S01006831",0.03
"327","S01006832",0.04
"328","S01006833",0.02
"329","S01006834",0.03
"330","S01006835",0.08
"331","S01006836",0.03
"332","S01006837",0.05
"333","S01006838",0.04
"334","S01006839",0.04
"335","S01006840",0.01
"336","S01006841",0.04
"337","S01006842",0.02
"338","S01006843",0.02
"339","S01006844",0.02
"340","S01006845",0.02
"341","S01006846",0.03
"342","S01006847",0.04
"343","S01006848",0.02
"344","S01006849",0.02
"345","S01006850",0.08
"346","S01006851",0.09
"347","S01006852",0.03
"348","S01006853",0.04
"349","S01006854",0.06
"350","S01006855",0.02
"351","S01006856",0.02
"352","S01006857",0.02
"353","S01006858",0.01
"354","S01006859",0.02
"355","S01006860",0.08
"356","S01006861",0.02
"357","S01006862",0.03
"358","S01006863",0.07
"359","S01006864",0.06
"360","S01006865",0.02
"361","S01006866",0.02
"362","S01006867",0.02
"363","S01006868",0.08
"364","S01006869",0.04
"365","S01006870",0.03
"366","S01006871",0.04
"367","S01006872",0.02
"368","S01006873",0.02
"369","S01006874",0.03
"370","S01006875",0.05
"371","S01006876",0.04
"372","S01006877",0.04
"373","S01006878",0.08
"374","S01006879",0.04
"375","S01006880",0.02
"376","S01006881",0.02
"377","S01006882",0.06
"378","S01006883",0.04
"379","S01006884",0.06
"380","S01006885",0.08
"381","S01006886",0.05
"382","S01006887",0.03
"383","S01006888",0.02
"384","S01006889",0.14
"385","S01006890",0.05
"386","S01006891",0.06
"387","S01006892",0.13
"388","S01006893",0.08
"389","S01006894",0.07
"390","S01006895",0.1
"391","S01006896",0.08
"392","S01006897",0.04
"393","S01006898",0.06
"394","S01006899",0.01
"395","S01006900",0.03
"396","S01006901",0.1
"397","S01006902",0.14
"398","S01006903",0.15
"399","S01006904",0.09
"400","S01006905",0.05
"401","S01006906",0.12
"402","S01006907",0.07
"403","S01006908",0.08
"404","S01006909",0.03
"405","S01006910",0.02
"406","S01006911",0.01
"407","S01006912",0.01
"408","S01006913",0.05
"409","S01006914",0.01
"410","S01006915",0.02
"411","S01006916",0.06
"412","S01006917",0.02
"413","S01006918",0.02
"414","S01006919",0.04
"415","S01006920",0.06
"416","S01006921",0.01
"417","S01006922",0.03
"418","S01006923",0.03
"419","S01006924",0.04
"420","S01006925",0.05
"421","S01006926",0.01
"422","S01006927",0.03
"423","S01006928",0.04
"424","S01006929",0.01
"425","S01006930",0.01
"426","S01006931",0.04
"427","S01006932",0.03
"428","S01006933",0.01
"429","S01006934",0.03
"430","S01006935",0.01
"431","S01006936",0.04
"432","S01006937",0.02
"433","S01006938",0.04
"434","S01006939",0.02
"435","S01006940",0.02
"436","S01006941",0.03
"437","S01006942",0.02
"438","S01006943",0.02
"439","S01006944",0.06
"440","S01006945",0.02
"441","S01006946",0.01
"442","S01006947",0.04
"443","S01006948",0.03
"444","S01006949",0.01
"445","S01006950",0.09
"446","S01006951",0.04
"447","S01006952",0.04
"448","S01006953",0.02
"449","S01006954",0.02
"450","S01006955",0.09
"451","S01006956",0.04
"452","S01006957",0.02
"453","S01006958",0.04
"454","S01006959",0.13
"455","S01006960",0.03
"456","S01006961",0.01
"457","S01006962",0.02
"458","S01006963",0.03
"459","S01006964",0.03
"460","S01006965",0.03
"461","S01006966",0.1
"462","S01006967",0.03
"463","S01006968",0.08
"464","S01006969",0.07
"465","S01006970",0.02
"466","S01006971",0.11
"467","S01006972",0.03
"468","S01006973",0.03
"469","S01006974",0.04
"470","S01006975",0.03
"471","S01006976",0.02
"472","S01006977",0.06
"473","S01006978",0.07
"474","S01006979",0.04
"475","S01006980",0.03
"476","S01006981",0.05
"477","S01006982",0.03
"478","S01006983",0.05
"479","S01006984",0.02
"480","S01006985",0.04
"481","S01006986",0.05
"482","S01006987",0.05
"483","S01006988",0.05
"484","S01006989",0.01
"485","S01006990",0.04
"486","S01006991",0.12
"487","S01006992",0.04
"488","S01006993",0.06
"489","S01006994",0.06
"490","S01006995",0.02
"491","S01006996",0.04
"492","S01006997",0.01
"493","S01006998",0.03
"494","S01006999",0.05
"495","S01007000",0.05
"496","S01007001",0.08
"497","S01007002",0.07
"498","S01007003",0.04
"499","S01007004",0.05
"500","S01007005",0.03
"501","S01007006",0.08
"502","S01007007",0.06
"503","S01007008",0.1
"504","S01007009",0.08
"505","S01007010",0.05
"506","S01007011",0.17
"507","S01007012",0.18
"508","S01007013",0.03
"509","S01007014",0.04
"510","S01007015",0.05
"511","S01007016",0.04
"512","S01007017",0.11
"513","S01007018",0.04
"514","S01007019",0.1
"515","S01007020",0.11
"516","S01007021",0.08
"517","S01007022",0.09
"518","S01007023",0.06
"519","S01007024",0.08
"520","S01007025",0.13
"521","S01007026",0.08
"522","S01007027",0.08
"523","S01007028",0.06
"524","S01007029",0.04
"525","S01007030",0.1
"526","S01007031",0.12
"527","S01007032",0.15
"528","S01007033",0.11
"529","S01007034",0.08
"530","S01007035",0.2
"531","S01007036",0.08
"532","S01007037",0.1
"533","S01007038",0.16
"534","S01007039",0.1
"535","S01007040",0.12
"536","S01007041",0.12
"537","S01007042",0.09
"538","S01007043",0.06
"539","S01007044",0.12
"540","S01007045",0.07
"541","S01007046",0.08
"542","S01007047",0.04
"543","S01007048",0.07
"544","S01007049",0.15
"545","S01007050",0.1
"546","S01007051",0.04
"547","S01007052",0.05
"548","S01007053",0.04
"549","S01007054",0.13
"550","S01007055",0.03
"551","S01007056",0.05
"552","S01007057",0.06
"553","S01007058",0.13
"554","S01007059",0.08
"555","S01007060",0.18
"556","S01007061",0.02
"557","S01007062",0.06
"558","S01007063",0.05
"559","S01007064",0.05
"560","S01007065",0.06
"561","S01007066",0.06
"562","S01007067",0.05
"563","S01007068",0.13
"564","S01007069",0.08
"565","S01007070",0.12
"566","S01007071",0.07
"567","S01007072",0.03
"568","S01007073",0.03
"569","S01007074",0.1
"570","S01007075",0.11
"571","S01007076",0.1
"572","S01007077",0.08
"573","S01007078",0.13
"574","S01007079",0.14
"575","S01007080",0.17
"576","S01007081",0.14
"577","S01007082",0.21
"578","S01007083",0.22
"579","S01007084",0.09
"580","S01007085",0.11
"581","S01007086",0.26
"582","S01007087",0.19
"583","S01007088",0.21
"584","S01007089",0.02
"585","S01007090",0.02
"586","S01007091",0.12
"587","S01007092",0.2
"588","S01007093",0.04
"589","S01007094",0.07
"590","S01007095",0.05
"591","S01007096",0.03
"592","S01007097",0.04
"593","S01007098",0.03
"594","S01007099",0.04
"595","S01007100",0.06
"596","S01007101",0.14
"597","S01007102",0.05
"598","S01007103",0.08
"599","S01007104",0.05
"600","S01007105",0.09
"601","S01007106",0.09
"602","S01007107",0.03
"603","S01007108",0.06
"604","S01007109",0.14
"605","S01007110",0.14
"606","S01007111",0.07
"607","S01007112",0.02
"608","S01007113",0.06
"609","S01007114",0.05
"610","S01007115",0.1
"611","S01007116",0.01
"612","S01007117",0.02
"613","S01007118",0.16
